Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit
Antigua and Barbuda ;Baby Food;Online;M;01/20/2021;957081544;01/22/2021;552;255.28;159.42;140914.56;87999.84;52914.72
Panama;Snacks;Offline;C;01/20/2021;301644504;01/22/2021;2167;152.58;97.44;330640.86;211152.48;119488.38
Czech Republic;Beverages;Offline;C;01/20/2021;478051030;01/22/2021;4778;47.45;31.79;226716.10;151892.62;74823.48
North Korea;Cereal;Offline;L;01/20/2021;892599952;01/22/2021;9016;205.70;117.11;1854591.20;1055863.76;798727.44
Sri Lanka;Snacks;Offline;C;01/20/2021;571902596;01/22/2021;7542;152.58;97.44;1150758.36;734892.48;415865.88
Morocco;Personal Care;Offline;L;01/20/2021;412882792;01/22/2021;48;81.73;56.67;3923.04;2720.16;1202.88
Federated States of Micronesia;Clothes;Offline;H;01/20/2021;932776868;01/22/2021;8258;109.28;35.84;902434.24;295966.72;606467.52
Bosnia and Herzegovina;Clothes;Online;M;01/20/2021;919133651;01/22/2021;927;109.28;35.84;101302.56;33223.68;68078.88
Afghanistan;Clothes;Offline;M;01/20/2021;579814469;01/22/2021;8841;109.28;35.84;966144.48;316861.44;649283.04
Ethiopia;Baby Food;Online;M;01/20/2021;192993152;01/22/2021;9817;255.28;159.42;2506083.76;1565026.14;941057.62
Turkey;Office Supplies;Offline;C;01/20/2021;557156026;01/22/2021;3704;651.21;524.96;2412081.84;1944451.84;467630.00
Oman;Cosmetics;Online;M;01/20/2021;741101920;01/22/2021;7382;437.20;263.33;3227410.40;1943902.06;1283508.34
Malaysia;Cereal;Offline;L;01/20/2021;333942162;01/22/2021;9762;205.70;117.11;2008043.40;1143227.82;864815.58
Saint Lucia;Cosmetics;Offline;H;01/20/2021;795100581;01/22/2021;6786;437.20;263.33;2966839.20;1786957.38;1179881.82
Saint Vincent and the Grenadines;Baby Food;Online;L;01/20/2021;504313504;01/22/2021;6428;255.28;159.42;1640939.84;1024751.76;616188.08
Lebanon;Meat;Offline;H;01/20/2021;611629760;01/22/2021;3693;421.89;364.69;1558039.77;1346800.17;211239.60
Austria;Cereal;Offline;C;01/20/2021;987410676;01/22/2021;5616;205.70;117.11;1155211.20;657689.76;497521.44
Bulgaria;Office Supplies;Online;L;01/20/2021;672330081;01/22/2021;6266;651.21;524.96;4080481.86;3289399.36;791082.50
Mexico;Beverages;Online;C;01/20/2021;127374303;01/22/2021;1742;47.45;31.79;82657.90;55378.18;27279.72
Trinidad and Tobago;Baby Food;Offline;C;01/20/2021;783842170;01/22/2021;5172;255.28;159.42;1320308.16;824520.24;495787.92
Libya;Beverages;Offline;L;01/20/2021;993345010;01/22/2021;1718;47.45;31.79;81519.10;54615.22;26903.88
Algeria;Baby Food;Offline;M;01/20/2021;977806651;01/22/2021;3572;255.28;159.42;911860.16;569448.24;342411.92
Estonia;Fruits;Online;L;01/20/2021;579463422;01/22/2021;4958;9.33;6.92;46258.14;34309.36;11948.78
Tuvalu;Beverages;Offline;L;01/20/2021;610864150;01/22/2021;7132;47.45;31.79;338413.40;226726.28;111687.12
Saudi Arabia;Snacks;Offline;L;01/20/2021;604870164;01/22/2021;3378;152.58;97.44;515415.24;329152.32;186262.92
Cuba;Cereal;Online;H;01/20/2021;164655292;01/22/2021;4015;205.70;117.11;825885.50;470196.65;355688.85
Montenegro;Fruits;Offline;L;01/20/2021;313705861;01/22/2021;1390;9.33;6.92;12968.70;9618.80;3349.90
Guatemala;Office Supplies;Online;M;01/20/2021;345820701;01/22/2021;4885;651.21;524.96;3181160.85;2564429.60;616731.25
Guinea;Baby Food;Online;M;01/20/2021;975111138;01/22/2021;5910;255.28;159.42;1508704.80;942172.20;566532.60
Vanuatu;Snacks;Online;C;01/20/2021;286001002;01/22/2021;2907;152.58;97.44;443550.06;283258.08;160291.98
United Arab Emirates;Cosmetics;Offline;H;01/20/2021;483226621;01/22/2021;6350;437.20;263.33;2776220.00;1672145.50;1104074.50
